pc_time_s,t_ms,Bx_raw,By_raw,Bz_raw,T_raw,Bx_mT,By_mT,Bz_mT,Bmag_mT,run_id,step_index,m1_deg,m2_deg,m3_deg,m4_deg
1777615204,130820,31688,37176,65532,17552,-9.8877,40.3564,299.9634,302.8274,20260501_160003,0,0,0,0,0
1777615204,130834,31692,37184,65532,17552,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,130848,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130863,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,130877,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130891,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,130906,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130920,31692,37188,65532,17552,-9.8511,40.4663,299.9634,302.8409,20260501_160003,0,0,0,0,0
1777615204,130934,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,130949,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,130963,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,130977,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,130992,31688,37184,65532,17552,-9.8877,40.4297,299.9634,302.8372,20260501_160003,0,0,0,0,0
1777615204,131007,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131021,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131036,31692,37176,65532,17544,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131050,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131064,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,131079,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131093,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131107,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131122,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131136,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,131150,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131165,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131179,31692,37184,65532,17552,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,131193,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,131208,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131222,31684,37180,65532,17552,-9.9243,40.3931,299.9634,302.8335,20260501_160003,0,0,0,0,0
1777615204,131236,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131251,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,131265,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131280,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131295,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131309,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131323,31696,37184,65532,17544,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,131338,31692,37184,65532,17544,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,131352,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131366,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131381,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131395,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,131409,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,131424,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,131438,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131452,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,131467,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
